ОТЧЕТ ПО ДИНАМИКЕ АКЦИЙ MOEX (История vs Последние 2 года)
--------------------------------------------------------------------------------
Тикер      | Группа     |   Global % |   Recent % | Trend          
--------------------------------------------------------------------------------
VGSB       | Leaders    |     61.1% |     10.8% | Slowing        
VGSBP      | Leaders    |     58.5% |      9.1% | Slowing        
KCHEP      | Leaders    |     45.9% |    -11.5% | Slowing        
FESH       | Leaders    |     35.7% |     12.7% | Slowing        
ROLO       | Leaders    |     33.1% |    -29.9% | Slowing        
LSNGP      | Leaders    |     32.0% |     29.5% | Slowing        
PLZL       | Leaders    |     31.8% |     -0.6% | Slowing        
AQUA       | Leaders    |     29.4% |    -30.2% | Slowing        
MRKU       | Leaders    |     26.1% |     26.9% | Accelerating   
MRKV       | Leaders    |     26.0% |     65.8% | Accelerating   
RASP       | Leaders    |     24.0% |    -30.7% | Slowing        
MDMG       | Leaders    |     23.7% |     24.4% | Accelerating   
PIKK       | Leaders    |     22.8% |     -1.1% | Slowing        
MRKZ       | Leaders    |     21.8% |     43.4% | Accelerating   
OZPH       | Leaders    |     21.1% |     21.1% | Slowing        
BSPB       | Leaders    |     20.8% |    -16.8% | Slowing        
BELU       | Leaders    |     20.5% |    -43.3% | Slowing        
IRKT       | Leaders    |     19.8% |    -36.9% | Slowing        
SELG       | Leaders    |     19.8% |     -5.8% | Slowing        
GCHE       | Leaders    |     19.3% |    -10.7% | Slowing        
TGKN       | Leaders    |     19.3% |    -36.9% | Slowing        
UGLD       | Leaders    |     19.2% |      9.3% | Slowing        
UNAC       | Leaders    |     19.0% |    -21.5% | Slowing        
LENT       | Leaders    |     18.7% |     32.5% | Accelerating   
RTGZ       | Leaders    |     18.3% |      5.6% | Slowing        
TATNP      | Leaders    |     17.9% |     -0.6% | Slowing        
YKENP      | Leaders    |     17.9% |    -23.9% | Slowing        
MRKP       | Leaders    |     17.4% |     30.3% | Accelerating   
NMTP       | Leaders    |     15.9% |     -5.3% | Slowing        
TORSP      | Leaders    |     15.2% |     21.8% | Accelerating   
MAGN       | Leaders    |     14.8% |    -30.5% | Slowing        
SBERP      | Leaders    |     14.6% |      4.2% | Slowing        
PHOR       | Leaders    |     14.3% |      2.8% | Slowing        
VSMO       | Leaders    |     14.0% |     -0.4% | Slowing        
TATN       | Leaders    |     14.0% |      1.8% | Slowing        
NVTK       | Leaders    |     14.0% |      4.6% | Slowing        
SIBN       | Neutral    |     13.7% |    -10.8% | Slowing        
SBER       | Neutral    |     13.0% |      4.2% | Slowing        
MOEX       | Neutral    |     12.7% |    -12.3% | Slowing        
CNRU       | Neutral    |     12.2% |     12.2% | Slowing        
MRKC       | Neutral    |     11.4% |     31.5% | Accelerating   
CHMF       | Neutral    |     11.0% |    -29.7% | Slowing        
LKOH       | Neutral    |     10.9% |    -12.9% | Slowing        
IRAO       | Neutral    |     10.4% |    -22.0% | Slowing        
KMAZ       | Neutral    |      9.9% |    -36.7% | Slowing        
SFIN       | Neutral    |      9.6% |     -9.4% | Slowing        
MTLRP      | Neutral    |      9.5% |    -46.4% | Slowing        
POSI       | Neutral    |      9.4% |    -43.5% | Slowing        
GMKN       | Neutral    |      9.1% |      9.9% | Accelerating   
MSNG       | Neutral    |      8.4% |    -22.7% | Slowing        
CBOM       | Neutral    |      8.3% |      8.4% | Accelerating   
SNGSP      | Neutral    |      8.1% |     -3.9% | Slowing        
MSRS       | Neutral    |      7.9% |     23.3% | Accelerating   
NLMK       | Neutral    |      7.7% |    -31.1% | Slowing        
ROSN       | Neutral    |      7.4% |    -15.7% | Slowing        
OZON       | Neutral    |      7.1% |    -11.6% | Slowing        
TRNFP      | Neutral    |      6.9% |     -8.1% | Slowing        
TRMK       | Neutral    |      6.6% |    -25.3% | Slowing        
OGKB       | Neutral    |      6.5% |    -20.7% | Slowing        
MTLR       | Neutral    |      6.5% |    -43.9% | Slowing        
T          | Neutral    |      6.2% |      6.2% | Slowing        
LSRG       | Neutral    |      5.4% |     -8.8% | Slowing        
FEES       | Neutral    |      4.7% |    -28.0% | Slowing        
RUAL       | Neutral    |      3.8% |     -5.1% | Slowing        
FLOT       | Neutral    |      2.7% |     -5.8% | Slowing        
AFLT       | Neutral    |      2.3% |    -13.9% | Slowing        
GEMC       | Neutral    |      2.0% |     -5.9% | Slowing        
MTSS       | Neutral    |      1.6% |      0.1% | Slowing        
PRMD       | Neutral    |      1.5% |      6.7% | Accelerating   
ALRS       | Neutral    |      1.3% |    -43.5% | Slowing        
GAZP       | Neutral    |      1.2% |    -12.7% | Slowing        
HYDR       | Neutral    |      1.2% |    -19.3% | Slowing        
SNGS       | Laggards   |      1.0% |    -19.1% | Slowing        
SVAV       | Laggards   |      0.3% |    -44.8% | Slowing        
BANE       | Laggards   |      0.3% |    -32.3% | Slowing        
BANEP      | Laggards   |     -0.3% |    -28.7% | Slowing        
SMLT       | Laggards   |     -1.9% |    -71.9% | Slowing        
RTKMP      | Laggards   |     -2.2% |    -24.0% | Slowing        
RTKM       | Laggards   |     -3.4% |    -28.2% | Slowing        
RENI       | Laggards   |     -3.6% |    -12.1% | Slowing        
YDEX       | Laggards   |     -3.7% |     -0.4% | Accelerating   
SVCB       | Laggards   |     -3.8% |    -10.8% | Slowing        
APTK       | Laggards   |     -4.1% |    -24.0% | Slowing        
UPRO       | Laggards   |     -4.4% |    -19.1% | Slowing        
VTBR       | Laggards   |     -5.2% |    -24.6% | Slowing        
MGNT       | Laggards   |     -6.2% |    -53.1% | Slowing        
DATA       | Laggards   |     -6.5% |     -6.5% | Slowing        
MVID       | Laggards   |     -6.5% |    -33.0% | Slowing        
ENPG       | Laggards   |     -7.3% |      2.7% | Accelerating   
AFKS       | Laggards   |    -10.1% |    -31.8% | Slowing        
RNFT       | Laggards   |    -10.6% |    -25.5% | Slowing        
HEAD       | Laggards   |    -15.1% |    -15.1% | Slowing        
SPBE       | Laggards   |    -16.0% |     21.7% | Accelerating   
ASTR       | Laggards   |    -17.9% |    -36.4% | Slowing        
ETLN       | Laggards   |    -20.0% |    -54.2% | Slowing        
X5         | Laggards   |    -24.1% |    -24.1% | Slowing        
UWGN       | Laggards   |    -25.7% |    -54.4% | Slowing        
WUSH       | Laggards   |    -28.7% |    -65.6% | Slowing        
SOFL       | Laggards   |    -28.9% |    -42.7% | Slowing        
SGZH       | Laggards   |    -32.8% |    -21.5% | Accelerating   
MBNK       | Laggards   |    -39.8% |    -26.6% | Accelerating   
VKCO       | Laggards   |    -39.9% |    -44.6% | Slowing        
VSEH       | Laggards   |    -41.4% |    -35.4% | Accelerating   
IVAT       | Laggards   |    -51.6% |    -43.5% | Accelerating   
