TRADEDATE,AFKS,AFLT,ALRS,APTK,AQUA,ASTR,BANE,BANEP,BELU,BSPB,CBOM,CHMF,CNRU,DATA,DIAS,ENPG,ETLN,EUTR,FEES,FESH,FIXR,FLOT,GAZP,GCHE,GEMC,GMKN,HEAD,HYDR,IRAO,IRKT,IVAT,KCHEP,KMAZ,LENT,LKOH,LSNGP,LSRG,MAGN,MBNK,MDMG,MGNT,MOEX,MRKC,MRKP,MRKU,MRKV,MRKZ,MSNG,MSRS,MTLR,MTLRP,MTSS,MVID,NLMK,NMTP,NVTK,OGKB,OZON,OZPH,PHOR,PIKK,PLZL,POSI,PRMD,RAGR,RASP,RENI,RNFT,ROLO,ROSN,RTGZ,RTKM,RTKMP,RUAL,SBER,SBERP,SELG,SFIN,SGZH,SIBN,SMLT,SNGS,SNGSP,SOFL,SPBE,SVAV,SVCB,T,TATN,TATNP,TGKN,TORSP,TRMK,TRNFP,UGLD,UNAC,UPRO,UWGN,VGSB,VGSBP,VKCO,VSEH,VSMO,VTBR,WUSH,X5,YDEX,YKENP
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79,73.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05043,,,,
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494,,,,
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.75,72.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04821,,,,
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.59,75.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04979,,,,
2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.76,75.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04987,,,,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.07,75.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04924,,,,
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.93,74.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04915,,,,
2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.59,74.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04825,,,,
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,1966.9,,,,,,,48.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91,74.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04726,,,,
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,1942.8,,,,,,,47.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.38,73.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04693,,,,
2013-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,1924.3,,,,,,,47.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.43,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04755,,,,
2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532,,,,,,,1965.9,,,,,,,47.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.53,73.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04921,,,,
2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5416,,,,,,,1942.3,,,,,,,46.96,,,,,,,,,,,,,,317.74,,,,,,,,,,,,,,,,,,,100.56,71.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04813,,,,
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515,,,,,,,1920.0,,,,,,,45.73,,,,,,,,,,,,,,317.74,,,,,,,,,,,,,,,,,,,100.31,69.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04792,,,,
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1934.4,,,,,,,45.63,,,,,,,,,,,,,,317.74,,,,,,,,,,,,,,,,,,,98.34,69.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04696,,,,
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495,,,,,,,1886.0,,,,,,,45.59,,,,,,,,,,,,,,317.74,,,,,,,,,,,,,,,,,,,95.48,67.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04565,,,,
